sku_id,family_code,family,vendor,vendor_type,tier,territory,category,piece_type,retail,landed_cogs,margin_pct,margin_dollars,arm,back,seat,suspension,frame,joinery,legs,fabric,rub_count,mechanism,covers,width_in,depth_in,height_in,seat_depth_in,seat_height_in
FAI-SOF-G,FAI,Fairhaven,Ashley,National brand,Good,Classic Transitional,Stationary,Sofa,699,356,49.07,343,"Rolled (sock) arm, self welt","Tight back, foam + fiber","1.8 lb standard poly HD foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered resin leg, espresso finish",Poly-blend performance flat weave,15000,,4,82,36,37,20,19
FAI-LVS-G,FAI,Fairhaven,Ashley,National brand,Good,Classic Transitional,Stationary,Loveseat,649,331,49.0,318,"Rolled (sock) arm, self welt","Tight back, foam + fiber","1.8 lb standard poly HD foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered resin leg, espresso finish",Poly-blend performance flat weave,15000,,4,60,36,37,20,19
FAI-CHR-G,FAI,Fairhaven,Ashley,National brand,Good,Classic Transitional,Stationary,Chair,449,229,49.0,220,"Rolled (sock) arm, self welt","Tight back, foam + fiber","1.8 lb standard poly HD foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered resin leg, espresso finish",Poly-blend performance flat weave,15000,,4,37,36,37,20,19
ACR-SOF-G,ACR,Ashcroft,TBD,Unsourced,Good,Classic Transitional,Stationary,Sofa,849,424,50.06,425,"Rolled (sock) arm, contrast welt",Attached pillow back,"1.8 lb HD poly foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Turned wood leg, pecan finish",Poly-blend performance flat weave,18000,,4,86,38,38,21,19
ACR-LVS-G,ACR,Ashcroft,TBD,Unsourced,Good,Classic Transitional,Stationary,Loveseat,799,400,49.94,399,"Rolled (sock) arm, contrast welt",Attached pillow back,"1.8 lb HD poly foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Turned wood leg, pecan finish",Poly-blend performance flat weave,18000,,4,63,38,38,21,19
ACR-CHR-G,ACR,Ashcroft,TBD,Unsourced,Good,Classic Transitional,Stationary,Chair,529,264,50.09,265,"Rolled (sock) arm, contrast welt",Attached pillow back,"1.8 lb HD poly foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Turned wood leg, pecan finish",Poly-blend performance flat weave,18000,,4,40,38,38,21,19
ACR-OTT-G,ACR,Ashcroft,TBD,Unsourced,Good,Classic Transitional,Stationary,Ottoman,299,150,49.83,149,"Rolled (sock) arm, contrast welt",Attached pillow back,"1.8 lb HD poly foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Turned wood leg, pecan finish",Poly-blend performance flat weave,18000,,4,30,24,18,0,18
BRN-SOF-G,BRN,Brantley,TBD,Unsourced,Good,Modern Transitional,Stationary,Sofa,799,411,48.56,388,Square track arm,"Attached pillow back, horizontal channel","1.8 lb HD poly foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered wood leg, natural oak",Poly-blend performance flat weave,18000,,4,84,36,34,22,18
BRN-LVS-G,BRN,Brantley,TBD,Unsourced,Good,Modern Transitional,Stationary,Loveseat,749,386,48.46,363,Square track arm,"Attached pillow back, horizontal channel","1.8 lb HD poly foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered wood leg, natural oak",Poly-blend performance flat weave,18000,,4,61,36,34,22,18
BRN-CHR-G,BRN,Brantley,TBD,Unsourced,Good,Modern Transitional,Stationary,Chair,499,257,48.5,242,Square track arm,"Attached pillow back, horizontal channel","1.8 lb HD poly foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered wood leg, natural oak",Poly-blend performance flat weave,18000,,4,38,36,34,22,18
COR-SOF-G,COR,Cordell,TBD,Unsourced,Good,Casual Transitional,Stationary,Sofa,899,445,50.5,454,Slope (flared) arm,"Attached pillow back, two-over-two","1.8 lb HD poly foam, dacron wrap, 23"" seat depth","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered wood leg, walnut finish",Poly-blend performance flat weave,20000,,5,90,40,38,23,19
COR-LVS-G,COR,Cordell,TBD,Unsourced,Good,Casual Transitional,Stationary,Loveseat,849,420,50.53,429,Slope (flared) arm,"Attached pillow back, two-over-two","1.8 lb HD poly foam, dacron wrap, 23"" seat depth","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered wood leg, walnut finish",Poly-blend performance flat weave,20000,,5,67,40,38,23,19
COR-CHR-G,COR,Cordell,TBD,Unsourced,Good,Casual Transitional,Stationary,Chair,559,277,50.45,282,Slope (flared) arm,"Attached pillow back, two-over-two","1.8 lb HD poly foam, dacron wrap, 23"" seat depth","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered wood leg, walnut finish",Poly-blend performance flat weave,20000,,5,42,40,38,23,19
COR-OTT-G,COR,Cordell,TBD,Unsourced,Good,Casual Transitional,Stationary,Ottoman,319,158,50.47,161,Slope (flared) arm,"Attached pillow back, two-over-two","1.8 lb HD poly foam, dacron wrap, 23"" seat depth","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered wood leg, walnut finish",Poly-blend performance flat weave,20000,,5,32,26,18,0,18
