family_code,family,vendor,vendor_type,tier,territory,category,sku_count,retail_low,retail_high,margin_target_pct,covers,arm,back,seat,suspension,frame,joinery,legs,fabric,rub_count,mechanism,design_note,rsa_story
FAI,Fairhaven,Ashley,National brand,Good,Classic Transitional,Stationary,3,449,699,49.0,4,"Rolled (sock) arm, self welt","Tight back, foam + fiber","1.8 lb standard poly HD foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered resin leg, espresso finish",Poly-blend performance flat weave,15000,,"The opening price statement. Scale is pulled in deliberately (82"" sofa) so the piece reads tailored rather than cheap. All the COGS that is here is in the silhouette and the welt -- nothing is spent where the customer cannot see it.",This is the best-looking sofa on our opening price point -- that rolled arm and the welted edge are what you'd normally pay a lot more for.
ACR,Ashcroft,H.M. Richards,Domestic specialist,Good,Classic Transitional,Stationary,4,299,849,50.0,4,"Rolled (sock) arm, contrast welt",Attached pillow back,"1.8 lb HD poly foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Turned wood leg, pecan finish",Poly-blend performance flat weave,18000,,The Good-tier volume anchor and the trade-up origin for the Classic lane. Attached pillow back buys the look of a loose cushion sofa with none of the fluffing complaints.,"The back cushions are attached -- so it looks plush but it never goes lumpy on you, and you never have to fight with it."
BRN,Brantley,Hughes Furniture,Domestic specialist,Good,Modern Transitional,Stationary,3,499,799,48.5,4,Square track arm,"Attached pillow back, horizontal channel","1.8 lb HD poly foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered wood leg, natural oak",Poly-blend performance flat weave,18000,,"Lowest profile in the Good tier at 34"" high. Buys the younger customer without asking the Good tier to pay for a track arm's tailoring premium -- corners are simple, not mitred.","Clean square arm, low back, oak legs -- this is the look people are pulling off Instagram, at our opening price."
COR,Cordell,Albany Industries,Domestic specialist,Good,Casual Transitional,Stationary,4,319,899,50.5,5,Slope (flared) arm,"Attached pillow back, two-over-two","1.8 lb HD poly foam, dacron wrap, 23"" seat depth","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered wood leg, walnut finish",Poly-blend performance flat weave,20000,,"The biggest Good-tier footprint at 90"" and a 23"" seat. Sells on size -- the customer cross-shopping a warehouse club sofa sees this one is genuinely deeper.",Sit all the way back on this one -- it's a full 23 inches deep. Most sofas at this price make you perch.
DEN,Denby,Ashley,National brand,Good,Modern Transitional,Sectional,2,1099,1399,49.0,4,Square track arm,Attached pillow back,"1.8 lb HD poly foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered wood leg, natural oak",Poly-blend performance flat weave,18000,,Sectional entry point. Reversible chaise on the 2-Pc so one SKU covers both room orientations -- halves the floor and inventory burden of a LAF/RAF split at the tier that can least afford it.,"The chaise moves to either end -- so it fits your room no matter which way the TV faces. One box, no wrong choice."
EAS,Easton,Ashley,National brand,Good,Casual Transitional,Motion,3,499,999,48.5,4,Pillow-top rolled arm,Attached channel back,"4.5"" 1.8 lb HD poly foam",Sinuous spring over steel seat box,Engineered hardwood + steel mechanism reinforcement plates,"Staple-and-glue, bolted at mechanism points",Concealed base,Poly-blend performance / PU leather-look,20000,Two-position push-back (chair); 3-position manual (sofa/loveseat),Motion entry. Push-back on the chair means no handle and no recliner silhouette -- it captures the customer who wants the function but refuses to own something that looks like a recliner.,"No handle, no lever -- you just lean back. Sitting up it looks like a regular chair, which is the whole point."
GLN,Glenwood,England Furniture,Domestic specialist,Better,Classic Transitional,Stationary,4,429,1299,53.0,10,English (Charles of London) arm,"Loose pillow back, channeled poly fill","2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Turned wood leg, pecan finish",Performance chenille / textured weave,35000,,"The Classic lane's Better rung. English arm is the visible step-up from Ashcroft's roll -- set back, so the seat is wider without the sofa being wider. That is a real functional gain the RSA can demonstrate with their own body.","Watch -- the arm sets back, so you get almost four more inches of actual sitting room than the sofa next to it, same wall space."
HAR,Harlow,Jackson Furniture,Domestic specialist,Better,Modern Transitional,Stationary,4,579,1199,52.0,8,"Track arm, contrast welt, rounded front edge","Tight back, vertical channeling","2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Brushed metal leg, matte black",Performance textured weave / linen-look poly,35000,,"Lowest back in the line at 33"". The channeled tight back does the differentiation work that a loose cushion would do elsewhere -- it holds a crisp line, which is the whole promise of the silhouette.","Run your hand down that back -- that channeling is sewn, not stuffed. It'll look exactly like this in five years."
IVY,Ivywood,Best Home Furnishings,Domestic specialist,Better,Casual Transitional,Stationary,4,449,1349,53.0,10,Pillow-top track arm,"Loose pillow back, channeled poly fill","2.0 lb HR foam core, dacron wrap, 24"" seat depth",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Tapered wood leg, walnut finish",Performance chenille,40000,,"The deepest seat in the line at 24"" and the only Better stationary family on pocketed coil suspension. This is the comfort-first customer's destination -- and the demo that makes the Casual lane's step-up self-evident.","Push down on the seat -- feel it push back? That's individual coils under there, same as a good mattress. Foam alone can't do that."
OAK,Oakhurst,Craftmaster Essentials,Domestic specialist,Better,Modern Transitional,Stationary,5,439,1499,52.5,12,"Square track arm, contrast welt",Attached pillow back,"2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Tapered wood leg, natural oak",Full performance program -- stain + moisture barrier,50000,,The family-proof family. Every cover is performance and every cover is one price -- the customer with kids and a dog never has to weigh fabric choice against budget. Carries the line's only sleeper.,"Every single cover on this one is performance fabric, and they're all the same price. Pick the color you love, not the one you can afford to ruin."
LAN,Lanmore,Jackson Furniture,Domestic specialist,Better,Modern Transitional,Sectional,2,1599,1899,52.5,8,"Track arm, contrast welt","Tight back, vertical channeling","2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Brushed metal leg, matte black",Performance textured weave / linen-look poly,35000,,"Harlow's silhouette in sectional form -- deliberately shares the arm, leg and cover program so the two can merchandise as one modern vignette and amortize the same tooling and cover buy.","Same clean arm and metal leg as the Harlow sofa behind you -- so if you want the sectional in the family room and the sofa in the front room, they read as a set."
KNG,Kingsley,Best Home Furnishings,Domestic specialist,Better,Casual Transitional,Sectional,3,1699,2199,52.5,10,Pillow-top track arm,"Loose pillow back, channeled poly fill","2.0 lb HR foam core, dacron wrap, 24"" seat depth",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Tapered wood leg, walnut finish",Performance chenille,40000,,Ivywood's construction in modular form. The 5-Pc introduces the modular concept at Better so the customer meets reconfigurability before they are asked to pay Best-tier money for it.,"These pieces come apart and go back together however your room needs -- and if you move, it moves with you."
MAR,Marchetti,La-Z-Boy,National brand,Better,Classic Transitional,Motion,4,699,1449,52.0,8,"Rolled arm, contrast welt","Attached channel back, layered fiber","5"" 2.0 lb HR foam",Sinuous spring over steel seat box,Kiln-dried hardwood + steel bolt-through at stress points,"Dowelled, steel bolt-through at mechanism points",Concealed base,Performance fabric / split-grain leather,40000,Wall-saver 3-position manual; rocker chassis on RRC,"Manual motion done properly. Wall-saver is the headline -- it solves an actual room-layout problem, which is a far stronger step-up argument than a smoother handle. Genuine leather enters the line here, at Better, because motion customers expect it.",Push it right up against the wall -- go ahead. Now recline it. It comes forward instead of back. You get the recliner without giving up a foot of your room.
NOR,Northfield,La-Z-Boy,National brand,Better,Casual Transitional,Motion,3,999,1899,51.5,8,Pillow-top track arm,"Attached pillow back, layered fiber","5"" 2.0 lb HR foam",Sinuous spring over steel seat box,Kiln-dried hardwood + steel bolt-through at stress points,"Dowelled, steel bolt-through at mechanism points",Concealed base,Performance fabric / split-grain leather,40000,"Single-motor power recline, infinite position, USB-A port",Power at Better. This is the single most important step-up in the whole line -- the manual-to-power jump changes the showroom demo completely and it is the reason the motion ladder can support four rungs instead of two.,"One button -- and you can stop it anywhere you want, not just three preset spots. Charge your phone right there in the arm."
PEM,Pemberton,Norwalk Furniture,Niche / design-led,Best,Classic Transitional,Stationary,4,599,1849,55.0,16,"English arm, scroll detail, antique nailhead border","Loose pillow back, down-blend fill","2.2 lb HR foam core, thick fiber wrap (down-blend seat envelope available custom-order)",Pocketed coil drop-in unit,"Kiln-dried maple, corner-blocked",Mortise-and-tenon at all stress points,"Turned wood leg, hand-finished pecan",Premium woven / velvet / Crypton performance,60000,,"The line's craftsmanship statement. Most of what the customer pays for here is invisible -- mortise-and-tenon joinery, kiln-dried maple, pocketed coil suspension -- which is the ethical obligation of a Best tier and why this SKU carries a 15-year frame warranty the rest of the line cannot. 8-way hand-tied was specced and then cut: at $195 of a $810 COGS budget it is the most expensive thing in furniture the customer cannot feel in a showroom. That money went into the down-blend back pillows and the maple frame instead.","Individual pocketed coils under the seat, mortise-and-tenon maple frame, down in the back pillows. Fifteen years on the frame -- it'll sit the same the day your kids inherit it."
QUI,Quincy,Younger + Co,Niche / design-led,Best,Modern Transitional,Stationary,3,1079,1749,54.0,14,"Scoop arm, sculpted","Tight back, sculpted foam","2.2 lb HR foam core, thick fiber wrap",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Mortise-and-tenon at all stress points,"Solid brass leg, brushed",Premium woven / velvet / Crypton performance,60000,,"The design halo. The scoop arm and a 32"" back make this the most sculptural piece in the line, and the sculpting is where the money goes -- hand-shaped foam and brass legs on a mortise-and-tenon frame. Coil-on-coil was specced and cut for the same reason 8-way hand-tied was: the arm is what sells this SKU, and the budget belongs where the customer looks.","Look at the line of that arm -- it's carved, not stuffed. And there are individual coils underneath the seat, so it comes right back up every time you stand."
THO,Thorne,Craftmaster,Domestic specialist,Best,Modern Transitional,Stationary,3,1349,2299,54.0,6,Shelter (tuxedo) arm,"Tight back, arm height matched","2.2 lb HR foam core, dacron wrap",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Mortise-and-tenon at all stress points,"Solid brass leg, brushed","Top-grain leather, full aniline available",100000,,"The leather statement, and deliberately the narrowest cover program in the line -- leather is the product here, so six well-chosen hides beat sixteen mediocre ones. Shelter arm is the only one in the assortment; it is a design-literate customer's piece and it is not trying to be for everyone.","This is top-grain leather -- not bonded, not split. Run your hand across it. In ten years it'll look better than it does today, which is not true of anything else on this floor."
RAV,Ravenswood,Norwalk Furniture,Niche / design-led,Best,Casual Transitional,Sectional,4,1899,3499,55.0,18,"Pillow-top track arm, loose down-blend pillow","Loose pillow back, down-blend fill","2.2 lb HR foam core, thick fiber wrap",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Mortise-and-tenon at all stress points,"Tapered wood leg, hand-finished walnut",Premium woven / performance velvet / Crypton,60000,,"Fully modular -- every seat is an independent unit, so the customer buys a configuration rather than a shape. This is the line's highest ticket and its widest cover program; the custom-order book shifts inventory risk to the customer and lets the assortment carry 18 covers without carrying 18 SKUs.","Every piece here is its own unit -- build it around your room today, rebuild it in the next house. And the seat cushions have a down wrap over the foam, so you sink in and it still holds you up."
STR,Stratton,Flexsteel,National brand,Best,Classic Transitional,Motion,3,1499,2799,55.0,16,"Rolled arm, contrast welt, nailhead border","Attached channel back, layered fiber","5"" 2.2 lb HR foam over encased spring unit",Encased spring unit over steel seat box,Kiln-dried hardwood + full steel bolt-through construction,Steel bolt-through at all mechanism and stress points,Concealed base,Top-grain leather / premium performance fabric,100000,"Dual-motor power recline with independent power headrest, power lumbar, USB-A + USB-C, battery backup","Three motors: recline, headrest, lumbar. The independent headrest is the demo -- body reclined, head forward for the TV -- and it is something no Better-tier power unit can do. Battery backup removes the last objection, which is the cord.","Lean all the way back -- now bring just your head forward to watch the game. Separate motor. And there's a battery in it, so it doesn't have to live next to an outlet."
