sku_id,slot_type,slot_no,tier,brand,model,retail,category,mechanism,cover,color_tier,customer_job,trade_up_feature,strategic_segment,genz_flag,margin_pct,street,notes
R01,MDL,R-01,Good,Ashley,Stayfish Rocker Recliner,349,Recliner,Manual rocker,NOT STATED,Anchor,Cheap and now,manual_rocker,Value Anchor,N,44.0,$369.99 SLBD / $249.99 HMKR,Opening MDL slot. Priced between the two retailers' street.
R02,MDL,R-02,Good,Ashley,Altari Rocker Recliner,349,Recliner,Manual rocker,NOT STATED,Accelerator,Not a recliner,manual_rocker,Under-35 Entry,Y,44.0,$349.99 HMKR,Track arms -- the cleanest modern line available at this price. Accelerator colour permitted at Good.
R03,MDL,R-03,Good,La-Z-Boy,Collage Rocker Recliner,399,Recliner,Manual rocker,NOT STATED,Anchor,Cheap and now,manual_rocker,Brand-at-a-Price,N,44.0,$399.99 SLBD,Lowest verified La-Z-Boy on the floor. THE advertised everyday price point -- matches the promo matrix's $399 exactly.
R04,MDL,R-04,Good,Ashley,Kegler Rocker Recliner,399,Recliner,Manual rocker,NOT STATED,Anchor,Cheap and now,manual_rocker,Value Anchor,N,44.0,$399.99 SLBD / $299.99 HMKR,"Second national-brand face at $399 so the price reads as a price, not a chair."
R05,MDL,R-05,Good,Ashley,Tulen Rocker Recliner,399,Recliner,Manual rocker,Soft chenille,Bridge,Not a recliner,manual_rocker,Under-35 Entry,Y,44.0,$339.99 HMKR,"Waterfall back, pillow-top arms, soft chenille. Merchandised in nursery gliders at Homemakers -- a small-scale signal we should be reading."
R06,MDL,R-06,Better,La-Z-Boy,Hawthorn Rocker Recliner,449,Recliner,Manual rocker,NOT STATED,Anchor,First real chair,manual_rocker,Step-Up Driver,N,51.0,$499.99 SLBD,First step off the $399 anchor into the brand the customer came in asking for. Carried by La-Z-Boy rather than Ashley to hold the 64% slot commitment.
R07,MDL,R-07,Better,Franklin,Kensington Rocker Recliner,449,Recliner,Manual rocker,NOT STATED,Anchor,First real chair,manual_rocker,Step-Up Driver,N,51.0,$469.99 SLBD,Base of Franklin's cleanest trade-up family: rocker $449 -> swivel $599 -> power $699.
R08,MDL,R-08,Better,La-Z-Boy,Charlotte High-Leg Recliner,499,Recliner,Push-back hi-leg,NOT STATED,Anchor,Not a recliner,pushback_hileg,Silhouette Reveal,Y,51.0,$537.99 HMKR,"REVEAL: reads as an accent chair, not a recliner. Apartment scale. The cheapest answer we have to the under-35 objection."
R09,MDL,R-09,Better,La-Z-Boy,Vail Rocker Recliner,499,Recliner,Manual rocker,NOT STATED,Anchor,First real chair,manual_rocker,Brand Step-Up,N,51.0,$499.99 SLBD,Named in the category file as a $299 entry; verified street is $499.99. See conflict C-016.
R10,MDL,R-10,Better,La-Z-Boy,Rowan Wall Recliner,549,Recliner,Wall-saver,NOT STATED,Anchor,Will it fit,wall_saver,Space Saver,Y,51.0,$498.00 HMKR,REVEAL: reclines from the wall. Rowan is also merchandised in nursery gliders -- a small-scale frame doing double duty.
R11,MDL,R-11,Better,La-Z-Boy,Finley Wall Recliner,549,Recliner,Wall-saver,NOT STATED,Bridge,Will it fit,wall_saver,Space Saver,N,51.0,$596.99 HMKR,
R12,MDL,R-12,Better,Franklin,Kensington Swivel Rocking Recliner,599,Recliner,Swivel glider,NOT STATED,Anchor,Not a recliner,swivel_glider,Silhouette Reveal,Y,51.0,$519.99 SLBD,"REVEAL: 360 swivel + glide. Exactly +$150 over the Kensington rocker -- the same frame, visibly different chair."
R13,MDL,R-13,Better,Ashley,ModMax Swivel Glider Recliner,599,Recliner,Swivel glider,Performance fabric,Bridge,Survive my life,swivel_glider,Performance Cover,Y,51.0,$478.00-$549.99 HMKR,"Performance fabric, easy clean. Serves the family/pet job and the under-35 silhouette job at once."
R14,MDL,R-14,Better,La-Z-Boy,James Rocker Recliner,599,Recliner,Manual rocker,NOT STATED,Anchor,First real chair,manual_rocker,Brand Step-Up,N,51.0,$599.99 SLBD,
R15,MDL,R-15,Better,La-Z-Boy,Pinnacle Swivel Glider Recliner,649,Recliner,Swivel glider,NOT STATED,Anchor,Not a recliner,swivel_glider,Silhouette Reveal,Y,51.0,$648.99 HMKR,One of only two verified La-Z-Boy swivel gliders. The anchor brand is thin here and Franklin is not -- see docs/recliners/04-genz-millennial.md.
R16,MDL,R-16,Better,Franklin,Brutus Oversized Snuggler Rocking Recliner,649,Recliner,"Manual rocker, cuddler",NOT STATED,Bridge,Built my size,manual_rocker,Cuddler,N,51.0,$599.99 SLBD,"One of only two verified cuddler SKUs in the governed set, both Franklin. La-Z-Boy has none -- this is the gap-fill role the category file names."
R17,MDL,R-17,Better,La-Z-Boy,Jasper Rocker Recliner,649,Recliner,Manual rocker,NOT STATED,Anchor,First real chair,manual_rocker,Brand Step-Up,N,51.0,$649.99 SLBD,
R18,MDL,R-18,Better,Ashley,Draycoll Power Rocker Recliner,699,Recliner,Power recline,NOT STATED,Anchor,My chair,power_recline,Power Gateway,N,51.0,$649.99 SLBD,REVEAL: POWER. The single most important rung on the floor. Ashley carries it because La-Z-Boy has no verified power below $918.99 -- see C-017.
R19,MDL,R-19,Better,La-Z-Boy,Joshua Rocker Recliner,699,Recliner,Manual rocker,NOT STATED,Anchor,First real chair,manual_rocker,Special Purchase,N,51.0,$699.99 SLBD,"Slumberland's page indexes as 'Joshua Special Purchase Rocker Recliner'. The Special Purchase PROGRAM is real; the $299 price in the brief is not. 54 comfort positions, 3-position locking footrest, instant lumbar."
R20,MDL,R-20,Better,La-Z-Boy,Reed Rocker Recliner,699,Recliner,Manual rocker,NOT STATED,Bridge,First real chair,manual_rocker,Brand Step-Up,N,51.0,$699.99 SLBD,
